Day,Time,entry_id,Temperature,Humidity,UV_level,Rain,Wind_Speed
San,60000,1,31.2,87.1,22,1,0
San,60020,2,31.2,87.3,23,1,0
San,60040,3,31.2,87.3,32,1,0
San,60100,4,31.2,87.2,322,1,0
San,60120,5,31.2,87,33,1,2.85
San,60140,6,31.2,86.8,322,1,0
San,60200,7,31.2,86.7,211,1,0
San,60220,8,31.2,86.8,232,1,0
San,60240,9,31.2,89.6,232,1,0
San,60300,10,31.3,87.4,23,1,0
San,60320,11,31.2,87.5,123,1,2.55
San,60340,12,31.3,87.6,23,1,0
San,60400,13,31.4,92.5,213,1,0
San,60420,14,31.5,87,232,1,0
San,60440,15,31.5,86.3,32,1,0
San,60500,16,31.4,86.2,31,1,0
San,60520,17,31.4,86,63,1,0
San,60540,18,31.4,86.1,23,1,0
San,60600,19,31.4,85.9,23,1,0
San,60620,20,31.4,86.9,45,1,0
San,60640,21,31.3,86.3,2,1,0
San,60700,22,31.4,87.1,23,1,0
San,60720,23,31.4,86.6,43,1,0
San,60740,24,31.4,86.4,34,1,0
San,60800,25,31.3,87.1,4,1,0
San,60820,26,31.4,86.5,9,1,0
San,60840,27,31.5,86.4,67,1,0
San,60900,28,31.5,86.3,22,1,0
San,60920,29,31.5,85.9,91,1,0
San,60940,30,31.6,85.6,1,1,0
San,61000,31,31.6,85.4,35,1,0
San,61020,32,31.6,85.6,79,1,0
San,61040,33,31.6,86.2,56,1,0
San,61100,34,31.6,85.7,14,1,0
San,61120,35,31.7,85.9,42,1,0
San,61140,36,31.7,85.6,76,1,0
San,61200,37,31.6,86.1,50,1,0
San,61220,38,31.7,85.7,10,1,0
San,61240,39,31.7,85.9,88,1,0
San,61300,40,31.6,85.5,29,1,0
San,61320,41,31.6,85.5,63,1,0
San,61340,42,31.6,85.8,5,1,0
San,61400,43,31.6,85.7,93,1,0
San,61420,44,31.2,85.8,19,1,0
San,61440,45,31.3,84.5,71,1,0
San,61500,46,31.4,85,31,1,0
San,61520,47,31.5,85.6,85,1,15.69
San,61540,48,31.5,85.4,73,1,0
San,61600,49,31.4,85.3,47,1,0
San,61620,50,31.4,86.3,82,1,0
San,61640,51,31.4,88.7,39,1,16.05
San,61700,52,31.4,85.8,97,1,16.02
San,61720,53,31.4,85.6,27,1,16.02
San,61740,54,31.3,85.7,68,1,16.05
San,61800,55,31.4,86.6,16,1,15.9
San,61820,56,31.4,86.5,52,1,15.81
San,61840,57,31.4,85.7,96,1,16.14
San,61900,58,31.3,85,8,1,16.11
San,61920,59,31.4,84.7,78,1,15.84
San,61940,60,31.5,85.6,24,1,13.41
San,62000,61,31.5,85.2,60,1,15.96
San,62020,62,31.8,85,37,1,15.9
San,62040,63,31.9,85.1,81,1,0
San,62100,64,31.9,84.6,3,1,15.78
San,62120,65,31.9,84.7,94,1,15.81
San,62140,66,31.9,84.6,13,1,15.9
San,62200,67,31.9,84.4,45,1,0
San,62220,68,32,85.3,74,1,15.72
San,62240,69,31.9,85.4,18,1,15.93
San,62300,70,31.9,85.1,59,1,15.93
San,62320,71,32,84.8,34,1,15.93
San,62340,72,32,85.4,89,1,15.9
San,62400,73,31.9,85.1,25,1,15.9
San,62420,74,31.8,84.5,65,1,15.87
San,62440,75,31.9,84.1,12,1,15.87
San,62500,76,31.9,83.5,58,1,15.99
San,62520,77,31.8,84,0,1,15.99
San,62540,78,31.8,84.2,0,1,0
San,62600,79,31.8,83.6,0,1,15.99
San,62620,80,31.8,85.5,9,1,15.84
San,62640,81,31.9,84.3,67,1,15.84
San,62700,82,31.9,83.6,22,1,0
San,62720,83,31.8,83.3,91,1,16.02
San,62740,84,31.8,84.7,1,1,15.96
San,62800,85,31.9,84.6,35,1,16.05
San,62820,86,31.8,83.8,79,1,15.96
San,62840,87,31.8,83.6,56,1,15.93
San,62900,88,31.8,83.5,14,1,15.81
San,62920,89,31.8,83.9,42,1,15.84
San,62940,90,31.8,83.7,76,1,15.87
San,63000,91,31.8,83.7,50,1,15.93
San,63020,92,31.7,83.7,10,1,15.84
San,63040,93,31.8,83.7,88,1,15.84
San,63100,94,31.7,83.7,29,1,15.81
San,63120,95,31.7,83.7,63,1,15.93
San,63140,96,31.7,83.7,5,1,15.81
San,63200,97,31.7,83.9,93,1,15.84
San,63220,98,31.7,84,19,1,15.93
San,63240,99,31.7,83.8,71,1,16.02
San,63300,100,31.7,84,31,1,15.96
San,63320,101,31.7,84.8,85,1,15.81
San,63340,102,31.8,85.9,73,1,15.99
San,63400,103,31.7,85.4,47,1,15.9
San,63420,104,31.8,84.6,82,1,15.96
San,63440,105,31.8,84.7,39,1,15.9
San,63500,106,31.8,85,97,1,15.9
San,63520,107,31.8,85.3,27,1,15.9
San,63540,108,31.8,84.7,68,1,16.08
San,63600,109,31.9,85.3,16,1,15.9
San,63620,110,31.9,85.6,52,1,0
San,63640,111,31.6,85.2,96,1,0
San,63700,112,31.9,84.7,8,1,0
San,63720,113,32,84.1,78,1,0
San,63740,114,32,84.1,24,1,0
San,63800,115,31.9,84.2,60,1,0
San,63820,116,32.1,84.3,37,1,0
San,63840,117,32.1,84,81,1,0
San,63900,118,32.2,83.9,6,1,0
San,63920,119,32.2,83.6,9,1,0
San,63940,120,32.2,83.9,67,1,0
San,64000,121,32.2,83.7,22,1,0
San,64020,122,32.3,83.6,91,1,1.41
San,64040,123,32.2,83.6,1,1,0
San,64100,124,32.3,83.9,35,1,0
San,64120,125,32.2,84,79,1,0
San,64140,126,32.2,84.1,56,1,0
San,64200,127,32.3,84.1,14,1,0
San,64220,128,32.3,84.2,42,1,22.26
San,64240,129,32.3,84.7,76,1,16.08
San,64300,130,32.2,83.6,50,1,16.2
San,64320,131,32.2,83.7,10,1,0
San,64340,132,32.3,84.1,88,1,2.52
San,64400,133,32.3,84.6,29,1,0
San,64420,134,32.2,83.8,63,1,3.15
San,64440,135,32.3,83.8,5,1,3.09
San,64500,136,32.2,85.3,93,1,24.81
San,64520,137,32.3,84.6,19,1,24.69
San,64540,138,32.2,83.8,71,1,24.21
San,64600,139,31.2,85.8,31,1,24.54
San,64620,140,31.4,85.4,85,1,22.65
San,64640,141,31.3,85.3,73,1,16.32
San,64700,142,31.4,85.1,47,1,16.23
San,64720,143,31.4,85.8,82,1,16.17
San,64740,144,31.4,85.8,39,1,16.35
San,64800,145,31.4,85.7,97,1,13.41
San,64820,146,31.3,86.5,27,1,15.96
San,64840,147,31.3,86.1,68,1,22.17
San,64900,148,31.4,86.2,16,1,14.97
San,64920,149,31.3,85.3,52,1,0
San,64940,150,31.3,85.6,96,1,21.99
San,65000,151,31.2,85.4,8,1,22.11
San,65020,152,31.3,85.4,78,1,9.78
San,65040,153,31.3,85.3,24,1,24.15
San,65100,154,31.3,85.2,60,1,21.96
San,65120,155,31.4,85.2,37,1,12.87
San,65140,156,31.3,85.5,81,1,22.38
San,65200,157,31.4,85.2,3,1,22.53
San,65220,158,31.3,85.1,94,1,22.44
San,65240,159,31.4,86,13,1,22.59
San,65300,160,31.4,84.9,45,1,24.66
San,65320,161,31.3,84.9,74,1,24.48
San,65340,162,31.4,86.2,18,1,24.51
San,65400,163,31.4,85.1,59,1,24.54
San,65420,164,31.4,85.1,34,1,24.54
San,65440,165,31.4,85.1,89,1,24.33
San,65500,166,31.5,85.1,25,1,24.42
San,65520,167,31.4,84.8,65,1,24.42
San,65540,168,31.4,85.5,12,1,24.27
San,65600,169,31.4,84.8,58,1,24.57
San,65620,170,31.4,84.8,30,1,24.48
San,65640,171,31.4,84.7,87,1,24.39
San,65700,172,31.5,84.6,16,1,24.48
San,65720,173,31.4,84.8,16,1,19.47
San,65740,174,31.4,84.7,20,1,24.45
San,65800,175,31.4,84.7,16,1,48.69
San,65820,176,31.3,84.7,16,1,23.22
San,65840,177,31.4,84.9,20,1,20.88
San,65900,178,31.4,84.7,16,1,15.78
San,65920,179,31.4,84.7,8,1,24.51
San,65940,180,31.4,84.8,67,1,24.54
San,70000,181,31.4,84.8,22,1,15.15
San,70020,182,31.4,84.8,91,1,24.39
San,70040,183,31.4,84.8,1,1,24.54
San,70100,184,31.4,84.8,35,1,24.42
San,70120,185,31.4,84.8,79,1,0
San,70140,186,31.4,85.2,56,1,11.43
San,70200,187,31.3,85.2,14,1,24.39
San,70220,188,31.4,85.6,42,1,24.42
San,70240,189,31.3,85.7,76,1,24.51
San,70300,190,31.3,85.7,50,1,30.51
San,70320,191,31.4,85.7,10,1,24.36
San,70340,192,31.4,85.6,88,1,24.39
San,70400,193,31.4,86.4,29,1,9.06
San,70420,194,31.4,86.2,63,1,9.27
San,70440,195,31.4,85.7,5,1,23.34
San,70500,196,31.3,85.6,93,1,10.83
San,70520,197,31.3,85.7,19,1,24.51
San,70540,198,31.3,85.7,71,1,19.56
San,70600,199,31.3,85.7,36,1,19.62
San,70620,200,31.3,85.8,36,1,19.47
San,70640,201,31.3,86.7,36,1,19.59
San,70700,202,31.1,85.8,36,1,0
San,70720,203,31.2,85.6,30,1,3.09
San,70740,204,31.2,85.6,33,1,3.42
San,70800,205,31.3,85.7,33,1,24.27
San,70820,206,31.2,85.7,36,1,24.24
San,70840,207,31.3,85.7,36,1,23.55
San,70900,208,31.3,85.8,36,1,15.66
San,70920,209,31.1,85.7,33,1,24.6
San,70940,210,31.1,85.7,33,1,8.4
San,71000,211,31.2,85.9,33,1,24.87
San,71020,212,31.3,85.6,33,1,20.85
San,71040,213,31.3,85.6,33,1,22.35
San,71100,214,31.2,85.7,33,1,13.86
San,71120,215,31.3,85.6,33,1,15.21
San,71140,216,31.3,85.7,33,1,13.89
San,71200,217,31.3,85.6,40,1,22.14
San,71220,218,31.2,85.6,36,1,24.24
San,71240,219,31.3,85.5,33,1,21.06
San,71300,220,31.3,85.6,33,1,21.39
San,71320,221,31.2,85.6,33,1,20.46
San,71340,222,31.2,85.5,36,1,20.16
San,71400,223,31.2,85.7,33,1,15.09
San,71420,224,31.2,85.7,36,1,17.25
San,71440,225,31.3,85.6,33,1,16.65
San,71500,226,31.2,85.5,33,1,20.22
San,71520,227,31.3,85.7,0,1,23.16
San,71540,228,31.2,86.2,36,1,24
San,71600,229,31.4,86.3,33,1,25.17
San,71620,230,31.3,85.6,33,1,24.96
San,71640,231,31.3,85.8,36,1,31.14
San,71700,232,31.3,85.5,36,1,25.02
San,71720,233,31.4,85.6,33,1,24.84
San,71740,234,31.3,85.5,33,1,49.74
San,71800,235,31.3,85.5,36,1,25.2
San,71820,236,31.2,85.5,33,1,25.2
San,71840,237,31.3,86.2,33,1,0
San,71900,238,31.3,86,36,1,0
San,71920,239,31.4,85.6,33,1,0
San,71940,240,31.3,85.8,36,1,0
San,72000,241,31.3,85.9,33,1,0
San,72020,242,31.4,86,36,1,0
San,72040,243,31.4,85.9,36,1,0
San,72100,244,31.4,85.8,36,1,0
San,72120,245,31.4,85.8,33,1,0
San,72140,246,31.4,85.7,33,1,0
San,72200,247,31.3,86.5,36,1,0
San,72220,248,31.3,86.1,36,1,0
San,72240,249,31.4,86.2,33,1,0
San,72300,250,31.3,85.3,36,1,0
San,72320,251,31.4,85.4,33,1,0
San,72340,252,31.4,85.8,36,1,0
San,72400,253,31.4,86.1,36,1,0
San,72420,254,31.4,86.1,36,1,0
San,72440,255,31.3,86,36,1,0
San,72500,256,31.4,85.6,36,1,0
San,72520,257,31.3,85.7,33,1,0
San,72540,258,31.3,85.7,36,1,0
San,72600,259,31.4,85.7,33,1,0
San,72620,260,31.4,85.6,33,1,0
San,72640,261,31.4,86.4,36,1,0
San,72700,262,31.4,86.2,36,1,0
San,72720,263,31.4,85.7,36,1,0
San,72740,264,31.3,85.6,33,1,0
San,72800,265,31.3,85.7,33,1,0
San,72820,266,31.3,85.7,36,1,0
San,72840,267,31.3,85.7,33,1,0
San,72900,268,31.3,85.8,36,1,0
San,72920,269,31.3,86.7,36,1,0
San,72940,270,31.3,85.9,33,1,0
San,73000,271,31.3,86.6,36,1,0
San,73020,272,31.3,86.5,36,1,0
San,73040,273,31.3,86.2,36,1,0
San,73100,274,31.2,86,40,1,0
San,73120,275,31.2,86.1,40,1,0
San,73140,276,31.1,87.1,33,1,0
San,73200,277,31.1,86.1,40,1,0
San,73220,278,31.2,86.3,40,1,0
San,73240,279,31.2,86.3,33,1,0
San,73300,280,31.2,86.2,36,1,0
San,73320,281,31.1,86.3,36,1,0
San,73340,282,31.1,86.3,33,1,0
San,73400,283,31.2,86.6,40,1,0
San,73420,284,31.1,86.3,33,1,0
San,73440,285,31.1,86.4,36,1,0
San,73500,286,31.1,86.3,33,1,0
San,73520,287,31.2,86.3,36,1,13.14
San,73540,288,31.1,86.4,33,1,10.14
San,73600,289,31.2,86.3,36,1,0
San,73620,290,31.2,86.3,33,1,0
San,73640,291,31.3,86.1,36,1,0
San,73700,292,31.2,86.2,33,1,0
San,73720,293,31.2,86.1,9,1,12.15
San,73740,294,31.2,86.2,67,1,0
San,73800,295,31.2,86.1,22,1,0
San,73820,296,31.3,86.1,91,1,14.25
San,73840,297,31.2,86.1,1,1,14.25
San,73900,298,31.2,86.2,35,1,14.28
San,73920,299,31.2,86.1,33,1,14.28
San,73940,300,31.3,86.1,33,1,14.28
San,74000,301,31.3,86,16,1,14.31
San,74020,302,31.3,86,13,1,16.44
San,74040,303,31.3,85.9,16,1,16.29
San,74100,304,31.3,86,16,1,15.78
San,74120,305,31.3,86,13,1,0
San,74140,306,31.3,85.9,16,1,0
San,74200,307,31.3,85.9,9,1,0
San,74220,308,31.3,85.9,67,1,0
San,74240,309,31.3,86,22,1,0
San,74300,310,31.2,86,91,1,0
San,74320,311,31.3,86,1,1,9.54
San,74340,312,31.3,86.1,35,1,8.25
San,74400,313,31.4,85.8,79,1,8.34
San,74420,314,31.4,85.8,56,1,8.19
San,74440,315,31.4,85.7,14,1,8.34
San,74500,316,31.3,86.5,42,1,8.31
San,74520,317,31.3,86.1,76,1,7.95
San,74540,318,31.4,86.2,50,1,0
San,74600,319,31.3,85.3,10,1,0
San,74620,320,30.9,86.1,88,1,0
San,74640,321,31,85.4,29,1,0
San,74700,322,31.1,85.3,63,1,0
San,74720,323,31.2,85.5,23,1,0
San,74740,324,31.2,85.5,0,1,0
San,74800,325,31.2,84.9,33,1,0
San,74820,326,31.3,84.7,33,1,0
San,74840,327,31.3,84.7,36,1,0
San,74900,328,31.4,84.5,33,1,0
San,74920,329,31.4,84.6,33,1,10.77
